iter	Passed	Remaining
1219	33760	49256
1220	33787	49227
1221	33811	49195
1222	33838	49166
1223	33865	49137
1224	33895	49113
1225	33921	49083
1226	33947	49053
1227	33972	49021
1228	33997	48990
1229	34024	48962
1230	34049	48930
1231	34073	48898
1232	34099	48867
1233	34125	48837
1234	34151	48807
1235	34180	48782
1236	34207	48753
1237	34233	48723
1238	34257	48690
1239	34284	48662
1240	34307	48627
1241	34331	48594
1242	34355	48562
1243	34381	48532
1244	34406	48501
1245	34434	48473
1246	34462	48446
1247	34487	48415
1248	34514	48386
1249	34544	48362
1250	34571	48333
1251	34595	48301
1252	34621	48270
1253	34647	48241
1254	34674	48212
1255	34702	48185
1256	34729	48156
1257	34754	48126
1258	34781	48098
1259	34806	48066
1260	34831	48035
1261	34857	48005
1262	34885	47978
1263	34912	47949
1264	34939	47920
1265	34965	47890
1266	34993	47863
1267	35018	47832
1268	35042	47800
1269	35068	47770
1270	35093	47739
1271	35119	47709
1272	35146	47680
1273	35173	47652
1274	35199	47622
1275	35224	47591
1276	35248	47559
1277	35275	47531
1278	35301	47500
1279	35326	47470
1280	35353	47440
1281	35379	47412
1282	35408	47385
1283	35439	47363
1284	35463	47331
1285	35491	47303
1286	35516	47272
1287	35542	47242
1288	35567	47211
1289	35593	47181
1290	35619	47151
1291	35644	47121
1292	35669	47090
1293	35696	47061
1294	35720	47030
1295	35745	46998
1296	35770	46967
1297	35795	46937
1298	35826	46913
1299	35851	46883
1300	35878	46854
1301	35907	46828
1302	35934	46800
1303	35959	46768
1304	35984	46737
1305	36009	46708
1306	36034	46677
1307	36058	46644
1308	36083	46613
1309	36110	46585
1310	36138	46557
1311	36180	46549
1312	36207	46521
1313	36233	46491
1314	36260	46463
1315	36287	46434
1316	36313	46405
1317	36340	46376
1318	36365	46346
1319	36391	46316
1320	36418	46288
1321	36444	46258
1322	36469	46227
1323	36494	46196
1324	36520	46167
1325	36544	46135
1326	36572	46108
1327	36596	46076
1328	36623	46048
1329	36649	46018
1330	36674	45987
1331	36699	45956
1332	36725	45927
1333	36753	45900
1334	36782	45874
1335	36807	45843
1336	36833	45814
1337	36859	45785
1338	36886	45757
1339	36911	45725
1340	36937	45696
1341	36962	45665
1342	36988	45637
1343	37017	45611
1344	37048	45587
1345	37073	45556
1346	37097	45524
1347	37124	45496
1348	37151	45469
1349	37176	45437
1350	37203	45409
1351	37227	45377
1352	37254	45349
1353	37280	45319
1354	37305	45289
1355	37331	45260
